"cleanedTweets","tweet","timestamp","Date","score","sentiment"
"rev up your style quotient with these from 
now available on","Rev up your style quotient with these #spectacular #Sneakers from #knottyderby !
Now available on #Ajio !… https://t.co/BgyWvOoYuo",2017-08-22 09:36:10,2017-08-22,2,"positive"
"duke men s clothing flat off starts from rs ajio","Duke Men's Clothing - Flat 50% Off starts from Rs.250 - Ajio - https://t.co/92f37zQThf Men's Clothing - Flat 50% ... https://t.co/ZKBmcjEM2k",2017-08-22 08:41:50,2017-08-22,0,"neutral"
"this top will go best with whole look","@AJIOLife This top will go best with whole look
#AJIOrecommends
https://t.co/20EjAIMXPm https://t.co/eZa6yYNtZy",2017-08-22 07:14:03,2017-08-22,2,"positive"
"can anyone connect me to someone who works at ajio","Can anyone connect me to someone who works at Ajio?",2017-08-22 06:42:14,2017-08-22,1,"positive"
"brand edit up to off","#AJIO Brand Edit up to 70% Off* https://t.co/jcm37M0U3w https://t.co/4033hoT7hs",2017-08-22 06:02:21,2017-08-22,0,"neutral"
"ty for host sorry ajio","@UHCFreshcraft @averlaskin @iTomiLokuras @Angelussssvr @Thenaxo_gg @ShenianMC @iAlejandroVz @xPaartyyARG ty for host @DeiserFC sorry ajio",2017-08-22 02:32:28,2017-08-21,-1,"negative"
"is this a good phone","#askphoneradar Is this a good phone? https://t.co/t04SF75Zrg",2017-08-21 19:51:32,2017-08-21,1,"positive"
"i would like to know how is the phone lfy f phone which is on ajio app it s is at lower price now ₹","@TechnicalGuruji I would like to know how is the phone LFY F1 phone which is on AJIO app..it's is at lower price now ₹7500",2017-08-21 16:51:45,2017-08-21,1,"positive"
"the new footwear trend neo nagras  ajio","The new footwear trend – Neo Nagras – Ajio https://t.co/SEKSIyE941 https://t.co/c0LCxJrHEe",2017-08-21 16:23:51,2017-08-21,0,"neutral"
"ajio aztec print nagra slip ons rs exclusive ajio aztec print casual nagra shoes rs exclusive ajio","AJIO Aztec Print Nagra Slip-Ons Rs. 1,499 EXCLUSIVE AJIO Aztec Print Casual Nagra Shoes Rs. 1,499 EXCLUSIVE AJIO... https://t.co/5dF51wjodb",2017-08-21 16:23:49,2017-08-21,0,"neutral"
"insane deal at get worth rs for just rs avail off off coupons extra vi","INSANE DEAL at #Ajio! Get #Jeans worth Rs6000 for just Rs2000! Avail 50%off+ 40%off coupons+ extra 20% #Cashback vi… https://t.co/ZAStFLTM9B",2017-08-21 14:30:15,2017-08-21,1,"positive"
"get up to off on brands get klippd cashback from","Get up to 70% off on brands @AJIOLife + Get 9% klippd cashback from https://t.co/9V0nR9SZjT
#Judwaa2Trailer… https://t.co/nUYTaiY0x9",2017-08-21 11:48:23,2017-08-21,1,"positive"
"listen i was planning that exact combo i already found it","@PhadkeTai @eclecticV LISTEN I WAS PLANNING THAT EXACT COMBO I ALREADY FOUND IT 

https://t.co/eDJuaEEQIC",2017-08-21 11:09:42,2017-08-21,0,"neutral"
"hillman accelerator helps minority and women led startups succeed","Hillman Accelerator Helps Minority and Women-Led Startups Succeed https://t.co/29WbLNDH3n https://t.co/5KFd95z2gX",2017-08-21 08:56:20,2017-08-21,1,"positive"
"if loving is a crime we plead guilty","If Loving #Fashion Is A Crime, We Plead Guilty.
#Offer #Style #GrabOn #SaveOnGrabOn
https://t.co/hV4QoyuCQL https://t.co/prD4xuOpmO",2017-08-21 07:43:21,2017-08-21,0,"neutral"
"incredibly from 
now available on","Incredibly #awesome #blue #sneakers from #knottyderby !
Now available on #Ajio !
#stayyoung #staynaughty https://t.co/om51RnWybh",2017-08-21 07:32:59,2017-08-21,3,"positive"
"coupon code extra 
 savings 
 sold by ajio
ameradeals ajio offer flat off get extra off on p","|COUPON CODE-EXTRA30
|SAVINGS-30%
|SOLD BY-Ajio
AmeraDeals: Ajio Offer : Flat 50% off + Get Extra 30% off on p...… https://t.co/2liO7hWTDv",2017-08-21 07:01:13,2017-08-21,0,"neutral"
"this ajio advertisement jingle reminds of kamal hassan s old thriller movie","This Ajio advertisement jingle reminds of Kamal Hassan's old thriller movie.",2017-08-20 16:55:09,2017-08-20,0,"neutral"
"get this beautiful just rs at via cashkaro get upto off off coupon extra","Get this beautiful #Saree just Rs2528 at #Ajio via CashKaro! Get upto 50% off+ 30% off coupon+ extra 20% #Cashback!… https://t.co/PHXTvaPMq3",2017-08-20 14:30:11,2017-08-20,2,"positive"
